Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title,,,
06/23/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Suffragette City-Covert Affairs Season 3,,,
06/23/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Let's Dance-Covert Affairs Season 3,,,
06/23/2014 5:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Rock 'N' Roll Suicide-Covert Affairs Season 3,,,
06/23/2014 6:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Rock 'N' Roll Suicide-Covert Affairs Season 3,,,
06/23/2014 6:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Wishful Beginnings-Covert Affairs Season 3,,,
06/23/2014 18:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Wishful Beginnings-Covert Affairs Season 3,,,
06/23/2014 19:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Man In The Middle-Covert Affairs Season 3,,,
06/24/2014 3:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Man In The Middle-Covert Affairs Season 3,,,
06/24/2014 4:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Scary Monsters (and Super Creeps)-Covert Affairs Season 3,,,
06/24/2014 20:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Quicksand-Covert Affairs Season 3,,,
06/25/2014 1:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Quicksand-Covert Affairs Season 3,,,
06/25/2014 1:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Lady Stardust-Covert Affairs Season 3,,,
06/25/2014 2:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Vamos-Covert Affairs Season 4,,,
07/01/2014 22:00:00,AMD_X64,,streaming,dryridge,us,roadrunner,ky,,,,,Vamos-Covert Affairs Season 4,,,
12/10/2014 1:00:00,Android4.2.2,,streaming,dryridge,us,Williamstown_Cable,ky,,,,,Marvel's The Avengers,,,
12/10/2014 8:00:00,Android4.2.2,,streaming,dryridge,us,Williamstown_Cable,ky,,,,,Pilot-Veronica Mars Season One,,,
12/10/2014 8:00:00,Android4.2.2,,streaming,dryridge,us,Williamstown_Cable,ky,,,,,Pilot-Veronica Mars Season One,,,
02/05/2015 23:00:00,Android4.2.2,,streaming,dryridge,us,Williamstown_Cable,ky,,,,,Batman Returns,,,
07/02/2015 4:00:00,Android4.2.2,,streaming,munfordville,us,South_Central_Rural_Telephone_Cooperative,ky,HD,,,,Pilot-How I Met Your Mother Season 1,,,
07/02/2015 4:00:00,Android4.2.2,,streaming,munfordville,us,South_Central_Rural_Telephone_Cooperative,ky,HD,,,,Pilot-How I Met Your Mother Season 1,,,
07/02/2015 4:00:00,Android4.2.2,,streaming,munfordville,us,South_Central_Rural_Telephone_Cooperative,ky,HD,,,,Urban Fruit,,,
07/02/2015 20:00:00,Android4.2.2,,streaming,munfordville,us,South_Central_Rural_Telephone_Cooperative,ky,SD,,,,Denial-Suits,Season 5,,
07/02/2015 20:00:00,Android4.2.2,,streaming,munfordville,us,South_Central_Rural_Telephone_Cooperative,ky,SD,,,,Denial-Suits,Season 5,,
07/02/2015 23:00:00,Android4.2.2,,streaming,munfordville,us,South_Central_Rural_Telephone_Cooperative,ky,SD,,,,Compensation-Suits,Season 5,,
